profile,architecture,steps,alpha,gamma,behavior_episode_return,bc_wis_mean,cql_wis_mean,cql_ci_low,cql_ci_high,cql_ess,file_path,mtime
full,dueling,3000,1.5,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a1_5_g0_99_seed42.json,1777323408.5768445
full,dueling,3000,2.0,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a2_g0_99_seed42.json,1777365499.0174477
full,dueling,3000,2.5,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a2_5_g0_99_seed42.json,1777323442.5486357
full,dueling,3000,5.0,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a5_g0_99_seed42.json,1777365529.7452781
full,dueling,3000,7.5,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a7_5_g0_99_seed42.json,1777323476.4884272
full,dueling,3000,10.0,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a10_g0_99_seed42.json,1777365560.21711
full,dueling,5000,0.25,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s5000_a0_25_g0_9_seed42.json,1777323510.6242173
full,dueling,5000,0.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s5000_a0_5_g0_9_seed42.json,1777365591.0009398
full,dueling,5000,0.75,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s5000_a0_75_g0_9_seed42.json,1777323544.5760086
full,dueling,5000,1.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s5000_a1_g0_9_seed42.json,1777365621.3167675
full,dueling,5000,1.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s5000_a1_5_g0_9_seed42.json,1777323578.7677984
full,dueling,5000,2.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s5000_a2_g0_9_seed42.json,1777365651.3485951
